id,lat,long,name,number
182,38.884616,-77.10108,Fairfax Dr & Kenmore St,31040
183,38.90509,-76.9941,Gallaudet / 8th St & Florida Ave NE,31508
185,38.903584,-77.044789,20th & L St NW,31250
186,38.903819,-77.0284,12th & L St NW,31251
187,38.901539,-77.046564,21st St & Pennsylvania Ave NW,31252
188,38.902204,-77.04337,19th & K St NW,31253
189,38.803124,-77.040363,Prince St & Union St,31041
190,38.804718,-77.043363,Market Square / King St & Royal St,31042
191,38.810743,-77.044664,Saint Asaph St & Pendleton  St,31043
192,38.805317,-77.049883,King St & Patrick St,31044
193,38.902,-77.03353,15th & K St NW,31254
194,38.805648,-77.05293,Commerce St & Fayette St,31045
195,38.811456,-77.050276,Henry St & Pendleton St,31046
196,38.814577,-77.052808,Braddock Rd Metro,31047
197,38.805767,-77.06072,King St Metro,31048
198,38.9066,-77.05152,24th & N St NW,31255
199,38.895914,-77.026064,10th & E St NW,31256
200,38.90088,-77.048911,22nd & I St NW / Foggy Bottom,31257
201,38.883669,-77.113905,Utah St & 11th St N ,31049
202,38.884961,-77.08777,Barton St & 10th St N,31050
203,38.889365,-77.077294,Arlington Blvd & N Queen St,31051
204,38.888251,-77.049426,Lincoln Memorial,31258
206,38.894722,-77.045128,20th St & Virginia Ave NW,31259
207,38.90093,-77.018677,5th St & Massachusetts Ave NW,31265
208,38.943837,-77.077078,39th & Veazey St NW,31308
209,38.954812,-77.082426,Fessenden St & Wisconsin Ave NW,31309
210,38.905707,-77.003041,M St & Delaware Ave NE,31627
211,38.863833,-77.080319,Columbia Pike & S Courthouse Rd,31053
212,38.857803,-77.086733,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054
213,38.846222,-77.069275,28th St S & S Meade St,31055
214,38.918809,-77.041571,18th St & Wyoming Ave NW,31114
215,38.956595,-77.019815,5th & Kennedy St NW,31403
216,38.949662,-77.027333,Georgia Ave & Emerson St NW,31405
217,38.942016,-77.032652,14th & Upshur St NW,31406
218,38.956432,-77.032947,14th St & Colorado Ave NW,31407
219,38.847977,-77.075104,S Troy St & 26th St S,31056
220,38.8444,-77.085931,S Four Mile Run Dr & S Shirlington Rd,31057
221,38.860789,-77.09586,S Oakland St & Columbia Pike,31058
222,38.835213,-77.094295,S Abingdon St & 36th St S,31059
223,38.84232,-77.089555,S Arlington Mill Dr & Campbell Ave,31060
224,38.848454,-77.084918,S Kenmore & 24th St S,31061
225,38.987,-77.029417,13th St & Eastern Ave,32006
226,38.90849,-77.063586,Wisconsin Ave & O St NW,31312
227,38.854691,-77.100555,S George Mason Dr & 13th St S,31062
228,38.955016,-77.069956,Connecticut & Nebraska Ave NW,31310
229,38.908142,-77.038359,17th St & Massachusetts Ave NW,31267
230,38.92333,-77.0352,15th & Euclid St  NW,31117
231,38.889988,-76.995193,8th & East Capitol St NE,31629
232,38.912659,-77.017669,New Jersey Ave & R St NW,31509
233,38.889908,-76.983326,15th & East Capitol St NE,31630
234,38.897274,-76.994749,8th & F St NE,31631
235,38.927095,-76.978924,18th St & Rhode Island Ave NE,31510
236,38.897195,-76.983575,15th & F St NE,31632
237,38.928644,-76.990955,12th & Irving St NE,31511
238,38.884085,-76.957461,34th St & Minnesota Ave SE,31709
239,38.843222,-76.999388,Alabama & MLK Ave SE,31800
240,38.863897,-76.990037,Pleasant St & MLK Ave SE,31807
241,38.903732,-76.987211,Neal St & Trinidad Ave NE,31512
242,38.916787,-77.028139,12th & U St NW,31268
243,38.852248,-77.105022,S George Mason Dr & Four Mile Run,31063
244,38.834108,-77.087323,S Stafford & 34th St S,31064
245,38.880705,-77.08596,N Pershing Dr & Wayne St,31065
246,38.867262,-77.072315,Columbia Pike & S Orme St,31066
247,38.887378,-77.001955,3rd St & Pennsylvania Ave SE,31269
248,38.894851,-77.02324,8th & D St NW,31270
249,38.917622,-77.01597,3rd & Elm St NW,31118
250,38.918155,-77.004746,Rhode Island Ave & V St NE,31513
251,38.892275,-77.013917,Constitution Ave & 2nd St NW/DOL,31271
252,38.88731,-77.01397,Washington & Independence Ave SW/HHS,31272
253,38.887312,-77.025762,Independence Ave & L'Enfant Plaza SW/DOE,31633
254,38.927497,-76.997194,Hamlin & 7th St NE,31514
255,38.862478,-77.086599,Columbia Pike & S Walter Reed Dr,31067
256,38.856319,-77.11153,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068
257,38.871822,-77.107906,Pershing & N George Mason Dr,31069
258,38.985404,-77.023082,Fenton St & New York Ave ,32001
259,38.981103,-77.097426,Bethesda Ave & Arlington Rd,32002
260,38.983838,-77.09221,Montgomery Ave & Waverly St ,32003
261,39.096312,-77.192672,Fallsgrove Blvd & Fallsgrove Dr,32004
262,39.093783,-77.202501,Traville Gateway Dr & Gudelsky Dr,32005
263,38.988562,-77.096539,Norfolk Ave & Fairmont St,32000
264,39.084125,-77.151291,E Montgomery Ave & Maryland Ave,32007
265,38.98954,-77.098029,Cordell & Norfolk Ave,32008
266,39.094772,-77.145213,Frederick Ave & Horners Ln,32009
267,38.98128,-77.011336,Philadelphia & Maple Ave,32010
268,38.983627,-77.006311,Maple & Ritchie Ave,32011
269,38.99521,-77.02918,Silver Spring Metro/Colesville Rd & Wayne Ave,32012
270,38.983525,-77.095367,Montgomery & East Ln,32013
271,38.961763,-77.085998,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014
272,38.921074,-77.031887,14th & Belmont St NW,31119
273,38.87501,-77.0024,3rd & Tingey St SE,31634
274,38.920387,-77.025672,10th & Florida Ave NW,31120
275,38.876737,-76.994468,Potomac Ave & 8th St SE,31635
276,39.120045,-77.156985,Crabbs Branch Way & Redland Rd,32015
277,39.099376,-77.188014,Fallsgrove Dr & W Montgomery Ave,32016
278,39.082779,-77.148827,Monroe St & Monroe Pl,32017
279,39.123513,-77.15741,Needwood Rd & Eagles Head Ct,32018
280,38.990249,-77.02935,East West Hwy & Blair Mill Rd,32019
281,39.107709,-77.152072,Crabbs Branch Way & Calhoun Pl,32020
282,38.982456,-77.091991,47th & Elm St,32021
283,39.000578,-77.00149,Garland Ave & Walden Rd,32022
284,39.095661,-77.159048,Montgomery College/W Campus Dr & Mannakee St,32023
285,38.989724,-77.023854,Fenton St & Gist Ave,32024
286,38.975,-77.01121,Carroll & Westmoreland Ave,32025
287,38.977933,-77.006472,Carroll & Ethan Allen Ave,32026
288,38.992375,-77.100104,Battery Ln & Trolley Trail,32027
289,38.990639,-77.100239,Norfolk & Rugby Ave,32028
290,38.977093,-77.094589,Offutt Ln & Chevy Chase Dr,32029
